,name,label,description,link
0,IEXE0102,USD_CLOSE,U.S. dollar (close),https://www.bankofcanada.ca/valet/series/IEXE0102
1,IEXE0103,USD_HIGH,U.S. dollar (high),https://www.bankofcanada.ca/valet/series/IEXE0103
2,IEXE0104,USD_LOW,U.S. dollar (low),https://www.bankofcanada.ca/valet/series/IEXE0104
3,IEXE0106,USD_CLOSE_90_DAY,"U.S. dollar closing,90-day",https://www.bankofcanada.ca/valet/series/IEXE0106
4,EUROCAE01.CL,EUR_CLOSE,European Euro (close),https://www.bankofcanada.ca/valet/series/EUROCAE01.CL
5,IEXE0301.CL,DKK_CLOSE,Danish krone (close),https://www.bankofcanada.ca/valet/series/IEXE0301.CL
6,IEXE0701.CL,JPY_CLOSE,Japanese yen (close),https://www.bankofcanada.ca/valet/series/IEXE0701.CL
7,IEXE0901.CL,NOK_CLOSE,Norwegian krone (close),https://www.bankofcanada.ca/valet/series/IEXE0901.CL
8,IEXE1101.CL,CHF_CLOSE,Swiss franc (close),https://www.bankofcanada.ca/valet/series/IEXE1101.CL
9,IEXE1201.CL,GBP_CLOSE,U.K. pound sterling (close),https://www.bankofcanada.ca/valet/series/IEXE1201.CL
10,IEXE1401.CL,HKD_CLOSE,Hong Kong dollar (close),https://www.bankofcanada.ca/valet/series/IEXE1401.CL
11,IEXE1601.CL,AUD_CLOSE,Australian dollar (close),https://www.bankofcanada.ca/valet/series/IEXE1601.CL
12,IEXE1901.CL,NZD_CLOSE,New Zealand dollar (close),https://www.bankofcanada.ca/valet/series/IEXE1901.CL
13,IEXE2001.CL,MXN_CLOSE,Mexican peso (close),https://www.bankofcanada.ca/valet/series/IEXE2001.CL
14,IEXE1001.CL,SEK_CLOSE,Swedish krona (close),https://www.bankofcanada.ca/valet/series/IEXE1001.CL
15,IEXE0101,USD_NOON,U.S. dollar (noon),https://www.bankofcanada.ca/valet/series/IEXE0101
16,IEXE2703,ARS_NOON,Argentine peso,https://www.bankofcanada.ca/valet/series/IEXE2703
17,IEXE1601,AUD_NOON,Australian dollar,https://www.bankofcanada.ca/valet/series/IEXE1601
18,IEXE6001,BSD_NOON,Bahamian dollar,https://www.bankofcanada.ca/valet/series/IEXE6001
19,IEXE2801,BRL_NOON,Brazilian real,https://www.bankofcanada.ca/valet/series/IEXE2801
20,IEXE4501,XAF_NOON,CFA franc,https://www.bankofcanada.ca/valet/series/IEXE4501
21,IEXE4601,XPF_NOON,CFP franc,https://www.bankofcanada.ca/valet/series/IEXE4601
22,IEXE2901,CLP_NOON,Chilean peso,https://www.bankofcanada.ca/valet/series/IEXE2901
23,IEXE2201,CNY_NOON,Chinese renminbi,https://www.bankofcanada.ca/valet/series/IEXE2201
24,IEXE3901,COP_NOON,Colombian peso,https://www.bankofcanada.ca/valet/series/IEXE3901
25,IEXE6101,HRK_NOON,Croatian kuna,https://www.bankofcanada.ca/valet/series/IEXE6101
26,IEXE2301,CZK_NOON,Czech Republic koruna,https://www.bankofcanada.ca/valet/series/IEXE2301
27,IEXE0301,DKK_NOON,Danish krone,https://www.bankofcanada.ca/valet/series/IEXE0301
28,IEXE4001,XCD_NOON,East Caribbean dollar,https://www.bankofcanada.ca/valet/series/IEXE4001
29,EUROCAE01,EUR_NOON,European Euro,https://www.bankofcanada.ca/valet/series/EUROCAE01
30,IEXE4101,FJD_NOON,Fiji dollar,https://www.bankofcanada.ca/valet/series/IEXE4101
31,IEXE4702,GHS_NOON,Ghanaian cedi,https://www.bankofcanada.ca/valet/series/IEXE4702
32,IEXE6501,GTQ_NOON,Guatemalan quetzal,https://www.bankofcanada.ca/valet/series/IEXE6501
33,IEXE4301,HNL_NOON,Honduran lempira,https://www.bankofcanada.ca/valet/series/IEXE4301
34,IEXE1401,HKD_NOON,Hong Kong dollar,https://www.bankofcanada.ca/valet/series/IEXE1401
35,IEXE2501,HUF_NOON,Hungarian forint,https://www.bankofcanada.ca/valet/series/IEXE2501
36,IEXE4401,ISK_NOON,Icelandic krona,https://www.bankofcanada.ca/valet/series/IEXE4401
37,IEXE3001,INR_NOON,Indian rupee,https://www.bankofcanada.ca/valet/series/IEXE3001
38,IEXE2601,IDR_NOON,Indonesian rupiah,https://www.bankofcanada.ca/valet/series/IEXE2601
39,IEXE5301,ILS_NOON,Israeli new shekel,https://www.bankofcanada.ca/valet/series/IEXE5301
40,IEXE6401,JMD_NOON,Jamaican dollar,https://www.bankofcanada.ca/valet/series/IEXE6401
41,IEXE0701,JPY_NOON,Japanese yen,https://www.bankofcanada.ca/valet/series/IEXE0701
42,IEXE3201,MYR_NOON,Malaysian ringgit,https://www.bankofcanada.ca/valet/series/IEXE3201
43,IEXE2001,MXN_NOON,Mexican peso,https://www.bankofcanada.ca/valet/series/IEXE2001
44,IEXE4801,MAD_NOON,Moroccan dirham,https://www.bankofcanada.ca/valet/series/IEXE4801
45,IEXE3802,MMK_NOON,Myanmar (Burma) kyat,https://www.bankofcanada.ca/valet/series/IEXE3802
46,IEXE4901,ANG_NOON,Neth. Antilles guilder,https://www.bankofcanada.ca/valet/series/IEXE4901
47,IEXE1901,NZD_NOON,New Zealand dollar,https://www.bankofcanada.ca/valet/series/IEXE1901
48,IEXE0901,NOK_NOON,Norwegian krone,https://www.bankofcanada.ca/valet/series/IEXE0901
49,IEXE5001,PKR_NOON,Pakistan rupee,https://www.bankofcanada.ca/valet/series/IEXE5001
50,IEXE5101,PAB_NOON,Panamanian balboa,https://www.bankofcanada.ca/valet/series/IEXE5101
51,IEXE5201,PEN_NOON,Peruvian new sol,https://www.bankofcanada.ca/valet/series/IEXE5201
52,IEXE3301,PHP_NOON,Philippine peso,https://www.bankofcanada.ca/valet/series/IEXE3301
53,IEXE2401,PLN_NOON,Polish zloty,https://www.bankofcanada.ca/valet/series/IEXE2401
54,IEXE6505,RON_NOON,Romanian new leu,https://www.bankofcanada.ca/valet/series/IEXE6505
55,IEXE2101,RUB_NOON,Russian ruble,https://www.bankofcanada.ca/valet/series/IEXE2101
56,IEXE6504,RSD_NOON,Serbian dinar,https://www.bankofcanada.ca/valet/series/IEXE6504
57,IEXE3701,SGD_NOON,Singapore dollar,https://www.bankofcanada.ca/valet/series/IEXE3701
58,IEXE3401,ZAR_NOON,South African rand,https://www.bankofcanada.ca/valet/series/IEXE3401
59,IEXE3101,KRW_NOON,South Korean won,https://www.bankofcanada.ca/valet/series/IEXE3101
60,IEXE5501,LKR_NOON,Sri Lanka rupee,https://www.bankofcanada.ca/valet/series/IEXE5501
61,IEXE1001,SEK_NOON,Swedish krona,https://www.bankofcanada.ca/valet/series/IEXE1001
62,IEXE1101,CHF_NOON,Swiss franc,https://www.bankofcanada.ca/valet/series/IEXE1101
63,IEXE3501,TWD_NOON,Taiwanese new dollar,https://www.bankofcanada.ca/valet/series/IEXE3501
64,IEXE3601,THB_NOON,Thai baht,https://www.bankofcanada.ca/valet/series/IEXE3601
65,IEXE5601,TTD_NOON,Trinidad and Tobago dollar,https://www.bankofcanada.ca/valet/series/IEXE5601
66,IEXE5701,TND_NOON,Tunisian dinar,https://www.bankofcanada.ca/valet/series/IEXE5701
67,IEXE5802,TRY_NOON,Turkish lira,https://www.bankofcanada.ca/valet/series/IEXE5802
68,IEXE6506,AED_NOON,U.A.E. dirham,https://www.bankofcanada.ca/valet/series/IEXE6506
69,IEXE1201,GBP_NOON,U.K. pound sterling,https://www.bankofcanada.ca/valet/series/IEXE1201
70,IEXE5902,VEF_NOON,Venezuelan bolivar fuerte,https://www.bankofcanada.ca/valet/series/IEXE5902
71,IEXE6503,VND_NOON,Vietnamese dong,https://www.bankofcanada.ca/valet/series/IEXE6503
72,IEXE0124,IEXE0124,US/Canada noon 3-month forward points spread,https://www.bankofcanada.ca/valet/series/IEXE0124
73,IEXE0125,IEXE0125,US/Canada noon 6-month forward points spread,https://www.bankofcanada.ca/valet/series/IEXE0125
74,HISTORICAL_CERI,CERI,Canadian-dollar effective exchange rate index (1992=100),https://www.bankofcanada.ca/valet/series/HISTORICAL_CERI
75,HISTORICAL_CERI_XUS,CERI_XUS,CERI excluding USD,https://www.bankofcanada.ca/valet/series/HISTORICAL_CERI_XUS
76,IEXE0101_RECIPROCAL,CAD/USD Noon Rate,U.S. dollar (noon),https://www.bankofcanada.ca/valet/series/IEXE0101_RECIPROCAL
77,IEXE0105,USD_NOON,"U.S. dollar noon, 90-day",https://www.bankofcanada.ca/valet/series/IEXE0105
78,IEXE2702,ARS_NOON,Argentine peso (local),https://www.bankofcanada.ca/valet/series/IEXE2702
79,IEXE3801,MMK_NOON,Myanmar (Burma) kyat (fixed),https://www.bankofcanada.ca/valet/series/IEXE3801
80,IEXE4701,GHC_NOON,Ghanaian cedi (old),https://www.bankofcanada.ca/valet/series/IEXE4701
81,IEXE5901,VEB_NOON,Venezuelan bolivar,https://www.bankofcanada.ca/valet/series/IEXE5901
82,IEXE6201,SKK_NOON,Slovak koruna,https://www.bankofcanada.ca/valet/series/IEXE6201
83,AVG.INTWO,Canadian Overnight Repo Rate Average (CORRA) (%),Canadian Overnight Repo Rate Average (CORRA) (%),https://www.bankofcanada.ca/valet/series/AVG.INTWO
84,CL.CDN.MOST.1DL,V39050,Overnight Money Market Financing Rate,https://www.bankofcanada.ca/valet/series/CL.CDN.MOST.1DL
85,CBC20210,V39079,Target for the overnight rate,https://www.bankofcanada.ca/valet/series/CBC20210
86,BA.CDN.30D.MID,V39068,Bankers' acceptances - 1 Month,https://www.bankofcanada.ca/valet/series/BA.CDN.30D.MID
87,BA.CDN.90D.MID,V39071,Bankers' acceptances - 3 month,https://www.bankofcanada.ca/valet/series/BA.CDN.90D.MID
88,CP.CDN.30D.OPER,V39072,Prime Corporate Paper Rate - 1 Month,https://www.bankofcanada.ca/valet/series/CP.CDN.30D.OPER
89,CP.CDN.60D.OPER,V39073,Prime Corporate Paper Rate - 2 Month,https://www.bankofcanada.ca/valet/series/CP.CDN.60D.OPER
90,CP.CDN.90D.OPER,V39074,Prime Corporate Paper Rate - 3 Month,https://www.bankofcanada.ca/valet/series/CP.CDN.90D.OPER
91,TB.CDN.30D.MID,V39063,Treasury bills - 1 month,https://www.bankofcanada.ca/valet/series/TB.CDN.30D.MID
92,TB.CDN.60D.MID,V39064,Treasury bills - 2 month,https://www.bankofcanada.ca/valet/series/TB.CDN.60D.MID
93,TB.CDN.90D.MID,V39065,Treasury bills - 3 month,https://www.bankofcanada.ca/valet/series/TB.CDN.90D.MID
94,TB.CDN.180D.MID,V39066,Treasury bills - 6 month,https://www.bankofcanada.ca/valet/series/TB.CDN.180D.MID
95,TB.CDN.1Y.MID,V39067,Treasury bills - 1 year,https://www.bankofcanada.ca/valet/series/TB.CDN.1Y.MID
96,BR.CDN,STATIC_BANKRATE,Bank Rate,https://www.bankofcanada.ca/valet/series/BR.CDN
97,B114039,STATIC_TARGETRATE,Target Rate,https://www.bankofcanada.ca/valet/series/B114039
98,CDN.AVG.1YTO3Y.AVG,1 to 3 year,Government of Canada marketable bonds - Average yield,https://www.bankofcanada.ca/valet/series/CDN.AVG.1YTO3Y.AVG
99,CDN.AVG.3YTO5Y.AVG,3 to 5 year,Government of Canada marketable bonds - Average yield,https://www.bankofcanada.ca/valet/series/CDN.AVG.3YTO5Y.AVG
100,CDN.AVG.5YTO10Y.AVG,5 to 10 year,Government of Canada marketable bonds - Average yield,https://www.bankofcanada.ca/valet/series/CDN.AVG.5YTO10Y.AVG
101,CDN.AVG.OVER.10.AVG,Over 10 years,Government of Canada marketable bonds - Average yield,https://www.bankofcanada.ca/valet/series/CDN.AVG.OVER.10.AVG
102,BD.CDN.2YR.DQ.YLD,2 year,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.2YR.DQ.YLD
103,BD.CDN.3YR.DQ.YLD,3 year,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.3YR.DQ.YLD
104,BD.CDN.5YR.DQ.YLD,5 year,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.5YR.DQ.YLD
105,BD.CDN.7YR.DQ.YLD,7 year,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.7YR.DQ.YLD
106,BD.CDN.10YR.DQ.YLD,10 year,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.10YR.DQ.YLD
107,BD.CDN.LONG.DQ.YLD,Long-term,Government of Canada benchmark bond yields,https://www.bankofcanada.ca/valet/series/BD.CDN.LONG.DQ.YLD
108,BD.CDN.RRB.DQ.YLD,Long-term,Real return bond,https://www.bankofcanada.ca/valet/series/BD.CDN.RRB.DQ.YLD
109,EUROCAM01,EUR,European Euro,https://www.bankofcanada.ca/valet/series/EUROCAM01
110,IEXM0101,USD,U.S. dollar (noon),https://www.bankofcanada.ca/valet/series/IEXM0101
111,IEXM0301,DKK,Danish krone,https://www.bankofcanada.ca/valet/series/IEXM0301
112,IEXM0701,JPY,Japanese yen,https://www.bankofcanada.ca/valet/series/IEXM0701
113,IEXM0901,NOK,Norwegian krone,https://www.bankofcanada.ca/valet/series/IEXM0901
114,IEXM1001,SEK,Swedish krona,https://www.bankofcanada.ca/valet/series/IEXM1001
115,IEXM1101,CHF,Swiss franc,https://www.bankofcanada.ca/valet/series/IEXM1101
116,IEXM1201,GBP,U.K. pound sterling,https://www.bankofcanada.ca/valet/series/IEXM1201
117,IEXM1401,HKD,Hong Kong dollar,https://www.bankofcanada.ca/valet/series/IEXM1401
118,IEXM1601,AUD,Australian dollar,https://www.bankofcanada.ca/valet/series/IEXM1601
119,IEXM1901,NZD,New Zealand dollar,https://www.bankofcanada.ca/valet/series/IEXM1901
120,IEXM2001,MXN,Mexican peso,https://www.bankofcanada.ca/valet/series/IEXM2001
121,IEXM2101,RUB,Russian ruble,https://www.bankofcanada.ca/valet/series/IEXM2101
122,IEXM2201,CNY,Chinese renminbi,https://www.bankofcanada.ca/valet/series/IEXM2201
123,IEXM2301,CZK,Czech Republic koruna,https://www.bankofcanada.ca/valet/series/IEXM2301
124,IEXM2401,PLN,Polish zloty,https://www.bankofcanada.ca/valet/series/IEXM2401
125,IEXM2501,HUF,Hungarian forint,https://www.bankofcanada.ca/valet/series/IEXM2501
126,IEXM2601,IDR,Indonesian rupiah,https://www.bankofcanada.ca/valet/series/IEXM2601
127,IEXM2702,ARS,Argentine peso (local),https://www.bankofcanada.ca/valet/series/IEXM2702
128,IEXM2703,ARS,Argentine peso,https://www.bankofcanada.ca/valet/series/IEXM2703
129,IEXM2801,BRL,Brazilian real,https://www.bankofcanada.ca/valet/series/IEXM2801
130,IEXM2901,CLP,Chilean peso,https://www.bankofcanada.ca/valet/series/IEXM2901
131,IEXM3001,INR,Indian rupee,https://www.bankofcanada.ca/valet/series/IEXM3001
132,IEXM3101,KRW,South Korean won,https://www.bankofcanada.ca/valet/series/IEXM3101
133,IEXM3201,MYR,Malaysian ringgit,https://www.bankofcanada.ca/valet/series/IEXM3201
134,IEXM3301,PHP,Philippine peso,https://www.bankofcanada.ca/valet/series/IEXM3301
135,IEXM3401,ZAR,South African rand,https://www.bankofcanada.ca/valet/series/IEXM3401
136,IEXM3501,TWD,Taiwanese new dollar,https://www.bankofcanada.ca/valet/series/IEXM3501
137,IEXM3601,THB,Thai baht,https://www.bankofcanada.ca/valet/series/IEXM3601
138,IEXM3701,SGD,Singapore dollar,https://www.bankofcanada.ca/valet/series/IEXM3701
