,name,label,description,link
0,sdp-2012-8,Staff Discussion Paper 2012-8,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Note from the author(s):
The BOS underlying indicator is re-estimated every quarter following the release of the Business Outlook Survey (results are available on the Bank website). As such, the entire time series is revised after every release.  The date field refers to the first day of the quarter where the BOS underlying indicator is estimated. For example, 01/04/2016 refers to the 2016Q2 estimate, which is available roughly one week after the end of the quarter (e.g. mid-July 2016).
Contact person:
Lise Pichette (lpichette@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/sdp-2012-8
1,swp-2012-37,Staff Working Paper 2012-37,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
Statistics Canada, Consensus Economics
Contact person:
Bruno Fenou (BFeunou@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/swp-2012-37
2,swp-2015-46,Staff Working Paper 2015-46,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
CRSP Fixed Income Database
Contact person:
Jean-Sébastien Fontaine (jsfontaine@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/swp-2015-46
3,swp-2013-42,Staff Working Paper 2013-42,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
Statistics Canada
Note from the author(s):
The date field shows the state of real economic activity in real time and is based on data available on that date.
Contact person:
Gitanjali Kumar (gkumar@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/swp-2013-42
4,sdp-2014-3,Staff Discussion Paper 2014-3,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
Haver Analytics/Markit, Haver Analytics/Eurostat, Haver Analytics/European Commission, Haver Analytics/CEPR, Haver Analytics/European Central Bank, Haver Analytics/Cabinet Office of Japan, Haver Analytics/METI, Haver Analytics/JAMA
Note from the author(s):
The estimates provided are the real-time forecasts for GDP growth as of the first day of each month. Based on a re-evaluation of the forecast errors in the spring of 2016, the MIDAS forecast for Japan is now based on the average forecast from the following indicators: (1) PMI (average of composite output, new orders, employment, and backlogs of work), (2) the Shoko-Chukin Survey (average of small/medium businesses finished goods inventory and production capacity), (3) the Cabinet Office consumption index, (4) retail sales, and (5) industrial production. 
Contact person: 
Maxime Leboeuf (mleboeuf@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/sdp-2014-3
5,sdp-2016-5,Staff Discussion Paper 2016-5,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
Consensus Economics, Haver Analytics/Bank of Japan, Haver Analytics/Federal Reserve Board, Haver Analytics/European Central Bank, Haver Analytics/OECD, Bloomberg
Note from the author(s):
The model is re-estimated every time new data is available and the data provided is the resulting in-sample fit. As such, all data series provided are revised when new data is available.
Contact person:
Maxime Leboeuf (mleboeuf@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/sdp-2016-5
6,swp-2013-37,Staff Working Paper 2013-37,"This file contains data based on the Bank of Canada research paper described below. The data is not an official statistical release by the Bank of Canada, and it is provided on a voluntary basis by the author(s). The Bank and the author(s) are not responsible for errors in this file and do not guarantee that the series will be updated in the future. A contact person is listed below for any question or other inquiry.
Sources:
Montréal Exchange, Thomson Reuters
Contact person:
Bo Young Chang (bchang@bank-banque-canada.ca)",https://www.bankofcanada.ca/valet/groups/swp-2013-37
7,bos,Business Outlook Survey,"A summary of interviews conducted by the Bank's regional offices with the senior management of about 100 firms, selected in accordance with the composition of Canada's gross domestic product.
The survey's purpose is to gather the perspectives of these businesses on topics of interest to the Bank of Canada (such as demand and capacity pressures) and their forward-looking views on economic activity.",https://www.bankofcanada.ca/valet/groups/bos
8,FX_RATES_RECIPROCAL,Daily reciprocal exchange rates,Daily average reciprocal exchange rates - published once each business day by 16:30 ET. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/FX_RATES_RECIPROCAL
9,FX_RATES_DAILY,Daily exchange rates,Daily average exchange rates - published once each business day by 16:30 ET. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/FX_RATES_DAILY
10,FX_RATES_MONTHLY,Monthly exchange rates,Monthly average exchange rates - published by 16:30 ET on the last business day of each month. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/FX_RATES_MONTHLY
11,FX_RATES_ANNUAL,Annual exchange rates,Annual average exchange rates - published by 16:30 ET on the last business day of each year. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/FX_RATES_ANNUAL
12,BCPI_WEEKLY,Weekly BCPI,Weekly Bank of Canada commodity price index.,https://www.bankofcanada.ca/valet/groups/BCPI_WEEKLY
13,BCPI_MONTHLY,Monthly BCPI,Monthly Bank of Canada commodity price index.,https://www.bankofcanada.ca/valet/groups/BCPI_MONTHLY
14,BCPI_ANNUAL,Annual BCPI,Annual Bank of Canada commodity price index.,https://www.bankofcanada.ca/valet/groups/BCPI_ANNUAL
15,BCPI_WEIGHTS,BCPI Weights,BCPI Weights,https://www.bankofcanada.ca/valet/groups/BCPI_WEIGHTS
16,LEGACY_NOON_RATES,Legacy Noon Rates,The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/LEGACY_NOON_RATES
17,LEGACY_ClOSING_RATES,Legacy Closing Rates,The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/LEGACY_ClOSING_RATES
18,LEGACY_MONTHLY_RATES,Legacy Monthly Average Rates,The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only.,https://www.bankofcanada.ca/valet/groups/LEGACY_MONTHLY_RATES
